Date,counts_trips,counts_Bike,trip_duration,counts_member_annual,counts_member_casual
2019-01-01,1064,674,1121463.0,897,167
2019-01-02,2290,1135,2838818.0,2207,83
2019-01-03,2279,955,1650338.0,2228,51
2019-01-04,3290,1381,2269606.0,3130,160
2019-01-05,2160,1053,1468872.0,1937,223
2019-01-06,1757,946,1265686.0,1595,162
2019-01-07,3037,1349,2198275.0,2971,66
2019-01-08,3560,1438,2339841.0,3493,67
2019-01-09,3532,1457,2505796.0,3470,62
2019-01-10,3067,1369,2384689.0,3011,56
2019-01-11,2663,1233,1823376.0,2611,52
2019-01-12,1690,924,1205567.0,1610,80
2019-01-13,1393,821,796742.0,1326,67
2019-01-14,3569,1507,2277018.0,3476,93
2019-01-15,3689,1483,2385738.0,3596,93
2019-01-16,3099,1348,1909551.0,3049,50
2019-01-17,3168,1360,1890443.0,3120,48
2019-01-18,2902,1230,1839373.0,2831,71
2019-01-19,558,382,1163832.0,549,9
2019-01-20,222,178,142877.0,218,4
2019-01-21,842,530,686654.0,835,7
2019-01-22,1655,847,1326640.0,1629,26
2019-01-23,1425,789,1002145.0,1407,18
2019-01-24,2428,1011,2210966.0,2370,58
2019-01-25,2401,1053,1450959.0,2324,77
2019-01-26,1205,661,1493268.0,1155,50
2019-01-27,356,263,252929.0,329,27
2019-01-28,580,426,798004.0,576,4
2019-01-29,356,255,599878.0,352,4
2019-01-30,573,363,1994818.0,567,6
2019-01-31,652,395,511190.0,651,1
2019-02-01,943,541,757367.0,916,27
2019-02-02,784,447,654447.0,712,72
2019-02-03,1106,577,827097.0,1024,82
2019-02-04,2682,1209,2117027.0,2627,55
2019-02-05,3123,1317,2487821.0,3071,52
2019-02-06,615,398,422995.0,606,9
2019-02-07,1482,751,1357423.0,1469,13
2019-02-08,1790,934,1088957.0,1774,16
2019-02-09,1024,606,589435.0,991,33
2019-02-10,1008,619,570186.0,974,34
2019-02-11,1965,989,3831355.0,1930,35
2019-02-13,572,357,2064677.0,563,9
2019-02-14,1467,757,1061671.0,1425,42
2019-02-15,1689,850,1169338.0,1649,40
2019-02-16,894,558,871227.0,842,52
2019-02-17,657,429,698216.0,630,27
2019-02-18,456,312,298644.0,439,17
2019-02-19,1965,973,1639657.0,1935,30
2019-02-20,2050,999,1825387.0,2024,26
2019-02-21,2429,1109,1837120.0,2391,38
2019-02-22,2729,1188,2234009.0,2625,104
2019-02-23,1581,851,1392029.0,1475,106
2019-02-24,936,554,555174.0,879,57
2019-02-25,1849,972,1102120.0,1818,31
2019-02-26,2340,1093,1539506.0,2304,36
2019-02-27,400,298,423333.0,391,9
2019-02-28,1207,669,1011170.0,1172,35
2019-03-01,1914,943,1392740.0,1871,43
2019-03-02,708,439,450319.0,673,35
2019-03-03,983,546,865474.0,936,47
2019-03-04,1832,908,2035905.0,1801,31
2019-03-05,1890,943,1195949.0,1887,3
2019-03-06,1981,964,1621817.0,1960,21
2019-03-07,2188,1044,2452345.0,2158,30
2019-03-08,2495,1175,1552591.0,2442,53
2019-03-09,1490,836,1003221.0,1400,90
2019-03-10,920,556,714638.0,858,62
2019-03-11,2682,1220,1629419.0,2600,82
2019-03-12,3323,1361,2246034.0,3196,127
2019-03-13,3307,1342,2655818.0,3228,79
2019-03-14,3208,1327,2163818.0,3080,128
2019-03-15,3522,1437,3099914.0,3317,205
2019-03-16,1813,917,1177178.0,1672,141
